User Name,Review Text,Rating (Stars),Review Date
Shakhnura Nurakhunova,"Очень пожалели что заказали у вас
В холодном в виде это лан зима ❄️ слой очень тонкий 😅курьер еще наглый мне не удобно до вас ехать 🤨выйдите я на квартал ниже стою заберите будто бесплатно раздает и еще без колы !Пицца вообще 🪵 твердая как приняли попробовали и все так же выкинули вообще не вкусный (деньги на ветер
Лучше Маки Маки либо Самурай всегда вкусно 🤤",1,30 декабря 2024
Khan Aldiyar,"Нужно было сфоткать этот «шедевр» 😂 слой рыбы просто восхищает :) тоньше не бывает :) почти прозрачного цвета.
Начинка внутренняя диаметром микроба .

Короче, если нет денег но очень хочется кушать, то сюда.
Фото на картинке и заказ не то и земля 😀",1,30 декабря 2024
Yelaman Amanov,"Даже рис видно , как нормальный человек попросил чтобы вместо пепперони положили Маргариту , они согласились сказали хорошо поменяем . А по факту не поменяли , если бы не согласились было бы не так обидно !!",1,29 декабря 2024
Лейла К,Ребята кто от них получил не качественный продукт зайдите в инстагрм и отправьте претензию чтоб заблокировали их страницу не то они так и будут всех дурить не качественными суши и тд.,1,29 декабря 2024
Дина Жуман,"Ужас просто🤦🏻‍♀️ АДАМ ЖЕЙТІН ТАМАҚ ҚОЙ, СУЫҚ ДЕМЕЙ АҚ ҚОЙДЫМ, ҚЫС ҚОЙ МАХЛ, НО ДҰРЫСТАП ӘКЕЛУГЕ БОЛАТЫН ЕДІ ҒОООЙ, УЖААААС ПРОСТООООООО,",1,29 декабря 2024
Гулнур Хожабергенова,"Свежий жеуге барсақ іші көк түтін, майдың иісі шығып тұр.
Курткаларымыз май сасып кетті.
Қызмет жасауы👎
Тек пицасы дәмді
Суши дәмді емес👎",1,29 декабря 2024
Сункар Долдаев,Оте нашар служба доставки. Шлагбаумнан алып кет дейди. Хотя бы уйдин алдына келмейди. Ары ответ жок 2 сагат куткен суши пиццамыз сол куйі жок болды,1,29 декабря 2024
Дикон Братан,Өтте дәмді 😍🤤,5,29 декабря 2024
САЕ С,"Мне объяснили что они делают Филадельфию из тонкой рыбы 🤦🏻‍♀️ нормально на вопрос не могут ответить, это говорят качество у них такое, просто в шоке! Остальные даже не стала фоткать, обслуживание на нуле, вкус ужасный, очень маленькие роллы. Пожалела что заказала у вас. Просто фууууу",1,29 декабря 2024
Mik O,Өте дамді жане керемет аспашы 🤩 жане өте көп сеттер заказ етуге стоит 💯,5,29 декабря 2024
Kakosya 🌟,Просто ужасно!!! Ест невозможно 👎👎,1,28 декабря 2024
Дина Турсун,Турып калган тамакты алып келди ужасно дами ески турып калган дам шыгады акшамызды жеп отыр касында 1л кола журеди дит кола акеп бермеди вапще алудын кажети жок,1,28 декабря 2024
Sako .,Тамактары фотодагыдай емес,1,27 декабря 2024
Данияр Еркинов,"Доставка опаздывает.
Еда остывшая.
В рисе камень.
Воааабще не вкусно!",1,27 декабря 2024
2217 1621,"Стыдно должно быть, настолько ожидание и реальность отличаются, понимаю, что цены дешёвые и нужно как-то в бюджете ограничиваться, но не нужно в таком случае так сильно обманывать людей, выставляя сеты на картинку такими огромными и идеальными. Это же просто позор, ужасно, начинки минимум, а риса по максимуму. Естественно все быстро наедаются, только рисом, рыба еле как чувствуется, рис буквально просвечивается😂 Настолько все здесь плохо. В Инстаграме комментарии отключены, к очень большому сожалению",1,27 декабря 2024
Асет Салтаев,Вечно у них все бардак (((( и сервис отстой,1,27 декабря 2024
Hello kitty,малсындар!,1,"27 декабря 2024, отредактирован"
Alua Lua,Операторы 🐐.Жазылган адресты курьерге жибере алмайды. Курьер тоже как будто бириншы кун омир сурир тургандай🤦🏼‍♀️,1,27 декабря 2024
Alikhan Karshiga,не вкусный,1,27 декабря 2024
Diana Rysbekova,Не советую ужасные суши. Заказывала первый и последний раз .,1,27 декабря 2024
Алима Елкеева,"Ужас, жақын жердегі суши ыстық күйінде келеді деп едік, суық суши, и видно ең соңғы майға қуыра салғанба, астының бәрі ласссс, сушидан сасық майдың иісі шығып тұр ((( кола сетьта бар деп соңында ұйықтап қалды дейді 😂😂😂 мааааллл, ужас просто (((",1,26 декабря 2024
Erasyl Nazarov,"Өте нашар жаслаған сет түсіп қалды деген ойдамыз. Бірақ соншалықты немқұрайлы қарап қалай болса солай жасалғаны ұнамады! Бар мәселе ""Муфаса"" сетінде болып тұр. Өйткені бургердін нанын туралған жағын қуырмай соусты жұмсақ етіп нанға сіңдіріп жіберген, бургердін өзіне соус жетпей қалған, көкеністерді қате қате турап жәй үстіне сала салған! Суши біршамасы жақсы тек кейбір жерін экономдағандай қылып көрсетпей тығып жіберіпті. Пицца суши секілді асығыс жасалғанба екен оның да күйі сондай экономдағандай етіп шұжықты өтірік турап лақтыра салғандай. Тауық қанаттары сет суретіндегідей емес оте аз әрі нашар жасалған. Былай қарап тұрсам кері қайтарып ақшамды алғымыз келген, бірақ шарт бойынша сұраныс жасалған соң ол қайтпайды екен сомен амал жоқ, обал мен ысырап қылмай отырмыз енді!",1,"26 декабря 2024, отредактирован"
Гульжан Джакаева,"Ужасные суши
Пица как доска как сухарики
Суши вообще несвежие рис не о чем там
Так что вообще в этом место небудем заказывать
Деньги на ветер",1,26 декабря 2024
Ayash Nazarbayevaa,"Доставили не в термо сумке. Все остывшее и холодное. Сервис ужас, операторы грубые, игнорят. Вообще не вкусно. 👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻",1,26 декабря 2024
Жансая Назарбаева,Все холодное еще суши перепутали . Без фольги отправили . Суши маленькие вообще не советую еще ждать 3 часа,1,26 декабря 2024
ssss ssss,"просто отвратительно! посмотрите на этот никчемный слой рыбы в 1/5 миллиметра! суши отвратительное, разваливаются на палочке, вместо крабовой палочки кака я то самая дешманская имитация которая на вкус как резина, пицца бетонная, с самой дешевой колбасой! а сервис это вообще отдельная история!!!! сказали доставка 1,5 часа, в итоге прождали 3 часа, позвонили, а нам сказали что ждать ещё час, девушка общалась очень грубо и недовольным тоном отвечала «ну отменяйте тогда заказ или ждите, я же сказала что будете ждать» это ненормально! не заказывайте тут !!!",1,26 декабря 2024
Laura Polatova,"Вчера брали тут, это отвратительно как на вкус так и на вид. Посмотрите какие мелкие крылышки с размером 5 см, а порция фри? Мне будто чьи то остатки положили. Про сами суши это вообще ужас, филадельфия прозрачная и без вкусная. Мелко нарезали чтобы количество типа было больше, самые мелкие суши, это даже сушами стыдно назвать. Экономия перебор . За такие деньги лучше бы в самурай заказали нормальные большие суши чем тут. Себе стоимость этого сета должно быть 2тыс не больше. Качество ужасное . Раз экономите соответствуйте. Я уверена что с таким видом там полная антисанитария. Слава богу что это в гости не повезли, позор был бы . Новые клиенты не заказывайте тут ! Сперва почитайте отзывы , не делайте нашу ошибку . Это место вообще ничего не стоит. Тут столько отзывов и я в шоке что владелец не может улучшить качество, сервис, не принимает меры.
Позор вам! И операторы у вас слабоумные, очень долго думают , не умеют нормально отвечать и принимать заказы!",1,"26 декабря 2024, отредактирован"
Ширимбекова Бакыт,Просто УЖАС,1,25 декабря 2024
Самат Кумисбек,"Ужасное отношение к клиентам
Все деньги на ветер
Суши отстой
Рыба тонкая совсем калифорния вообще сухая
Никогда не заказывайте",1,25 декабря 2024
Saniya Kumisbek,"Полный отстой
1. Ждать 3часа или еще больше
2. Филадельфия тоньше листа и еще плюс корочка от рыбы
3. Котлета обгоревшие
4. Все остыло
5. Как попало сделали пиццу
6. Оператор не дает обратную связь
Короче 8000тг на ветер лучше бы в ресторане поели нормальную еду",1,25 декабря 2024
Нұр Акбалина,"Филадельфияның балығы прозрачный, пиццаның бетіне сырды аяп салыпты, сәл-пәл ұят болу керек шығар құрсын🤦🏻‍♀️",1,25 декабря 2024
Aksholpan Sultann,Это полный ужас не заказывай ужасное отношения к клиентом,1,25 декабря 2024
Tamerlan Sailaukhan,"Суши как суши, вкусные, сет сочный за 6500, за свою цену хороший сет, очень даже. 3 пиццы и суши. На день рождения как раз",5,"25 декабря 2024, отредактирован"
TIMUR ZHAISHYBAYEV,Филадельфияның балығы прозрачныйго😂,1,25 декабря 2024
Арна Нұрдаш,"Тамақтың исі киімге сіңіп қалады, официанттардың қызмет көрсету нашар",2,"25 декабря 2024, отредактирован"
Аманат Кайратов,"Даже не заслуживают одну звезду,год назад заказывали,потом перестали потомучто качество было на нуле,через год решили заказать,так как видели как Рамазан говорил что они улучшили качество продуктов,суши,рыб и так далее,поверили ему и заказали, полный позор,суши состоит только из риса и очень сухой,на филаделиях рыбы почти нет,в бургер кладут не салатный лист а простую жесткую капусту,в суши кладут концы огурцов которые обычно отрезают,не стоит заказывать у них,самый позорный сеть суши KZ,бәріне түсінікті болу үшін орысша жаздым.",1,"25 декабря 2024, отредактирован"
Рамазан Ыбраим,Ужас ема бытшыт ещё суып калган бары фри остаток сыйакты 3 жарымда заказ бердык 7 жарымда алып келды если улгермесеныздер курьер кобейтыныздер не тамактарыныз дурыс емес не доставкаларыныз дурыс емес уакытымыз просто так кетып калды,1,"24 декабря 2024, отредактирован"
лиля 👼🏻💘❕,"вообще пипец какой то , пришли мы значит на этот филиал , а тут все еще закрыто.. внимания!! время было 10:30 , а написано что они с 9 ти работают. нас выгнала техничка со словами что она убирается , ну мы с пониманием отнеслись , заходим через 15-20 минут , а она в ответ косилась на нас бормоча «зачем пришли».. А ЗАПАХ ТО КАКОЙ УЖАСНЫЙ ВООБЩЕ СИДЕТЬ НЕ ВОЗМОЖНО!!!!!!!! не советую вообще сюда приходить , да и по отзывам кажется и еда не очень..",1,24 декабря 2024
Shuga klg,Өте күп күту керек жауап бермиді,1,23 декабря 2024
Nurasyl Erkhan,"Доставка ұзақ күтесің,суып келеді,сушилардың ішінде ештеңе жоқ,сонша күтіп едік,көңілімізден мүлдем шықпады!",1,23 декабря 2024
Сайат Суттибаев,Бургер мыжылып келді өте нашар және суып қалған заказ бермеген дұрыс,1,23 декабря 2024
Ерсултан Куанбай,"Өте жәй қыимылдайды, айтқан уақытта алып келе алмайды заказды",1,23 декабря 2024
Нурсулу .,Доставка узак кутесин,1,23 декабря 2024
Акерке Жиенкулова,"Жазған пікірлердә оқып заказ беруге ойланып тұрып, заказ бердім. Заказ бергеніме өкінбеймін. Өте дәмді. Бағасына сай! 10/10 Ішіндегі салмасы аз деп жазған кісілер болды. Әрине бағасы арзан болған соң бағысына сай сапасы. Салмасы аз болса да өте дәмді. 👍🏻
1 жұлдызша кемітіп қойғаным, расымен отыратын жер салқын. Ішке тамақ кірген соң жылынады екенсің☺️",4,23 декабря 2024
Нурали Аюб,Сушидың дым дәмі жоққо емаа,1,23 декабря 2024
Е Б,Өте нашар дәмсіз енді заказ бермиміз,1,23 декабря 2024
Назира Абдыгалиева,"Уже 2 ші рет берип жатырк блиин вообще не свежий суши , бургер мен крылышки қатып калган 2сагат 3 сагаттан кеин акелинседе свежий жасалынган суши билинип турады жумсак болып күріштері езилип кеткен бари калды жей алмадық кішкентай балалар болган сон пиццасын жеп тастады ! Коиган багаларынызга сай емес сеттериниз дәмі жоқ свежий емес турып калган отзызтын бари осындай ужас кой рекламаны олтирип саласыздар ожидание / реальность болады
Енді сіздерден заказ бермеспин
Филадельфияда балық жіп жінішке болмаса вообще жасамаи ак коимадыныздарма , имбирь жоқ кішкене гана салынган и то ода суланып свежий емес цветі де жоқ , палочка 3 шт салынган сет кобин бердик значит адам көп деген сөз
Без слов не советую не кому не заказывайте
Оценкасы байкамаи басылып кетті🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻",1,23 декабря 2024
Aя,"Вот реально Людиии вообще не заказывайте🤬ужаснноооо
Я в шокеее шатасып келген ,уақытында келмеген 3 сағаттан сон ,3 бургеры жоқ ,филанын тури ужасный,колифорния басқалары жоқ я очь возмущена сонша кутип ожидание и реальность кпцц👎👎👎👎🤮🤮🤮🤮🤮🤢🤢🤢🤢🤢🤢🤧🤧🤧🤧",1,23 декабря 2024
… …,"Присоединяюсь ко всем написанным отзывам,дно",1,23 декабря 2024
Султанбек Ережепбай,Суши өте нашар биттің қабындай жұқа обслуживания 0 атыммен жоқ соус жоқ не имбир жоқ баратын жер емес👎🏼👎🏼👎🏼👎🏼,1,22 декабря 2024
Apple User,Лучше бы 20 пирожков с капустой заказала бы чем сет РиО рис разваренный рыба хз есть или нет,1,22 декабря 2024
Bakitzhan Baha,"Сказали 2.5 часа +-30 мин, опоздали на 3 часа 20 минут. Заказ отменили, + еще такой сервис, от которого тошнит, аппетит пропадает.0 уважения к клиенту и абсолютное безразличие, несоблюдение субординации. Рахмет большое, больше никогда не вернусь к вам. И другим не советую👌🏻

Была бы оценка -миллион, поставил бы миллион таких.",1,22 декабря 2024
insta:bolatovaaа.zh 🪐,Сөйлеу манерасын білмейді еще суытып акеледі вообще не советую,1,22 декабря 2024
Адема Кобеева,"Беттері сарғайып тұрып қалғаны көрініп тұр филадельфияны айтпаяк кояйн маскара ғой нау балығы жоқ почти рекламасын өлтіріп жасайды 2,5 сағат күтесн ещё келген заказ мынау фри сүмірейіп қалған болмайдығой былай",1,22 декабря 2024
Фэридэ Юбурова,"ужасно, всё холодное, доставка 3 часа. Ожидание красивое, а реальность фу",1,"22 декабря 2024, отредактирован"
Альфия Искакова,"Просто ужас суши дегеннің с әріпіде жоқ, неғыса суши жасамай-ақ қоясыздар ау, иісі прям ашыған сияқты болып тұр, еще админге так и не смогли дозвониться, алған операторы өзімізге бақырып берді, просто нет слов одни эмоции",1,22 декабря 2024
Дильшат Турдиев,Мыналарды жабу керек,1,22 декабря 2024
Анастасия Чернова,"Отвратительное место. В заведении очень холодно, в куртках сидят, по меню толком ничего нету. Заказ ждали 35 минут, хотя вроде как позиционируют себя как быстро обслуживания. Сырные палочки принесли холодные, просто все в масле🤦. Не советую не кому это место, хуже я в жизни не пробовала🤬🤬🤬",1,21 декабря 2024
Beksultan A,Өте нашар жер не советую!,1,21 декабря 2024
Альтайыр Каденов,Қот*қ екен таза опслувжня офицант густар таза,1,21 декабря 2024
Madina Asetovna,"Самые невкусные суши которые когда либо ели! Ожидание реальность 😢😤 все безвкусно, рыба очень тоненько нарезана, соус вообще водой разбавленный 😨😱🤯",1,21 декабря 2024
kh akerke,"обслуживаниесы ужасный!!! жерлері кір кір, официанттары шаштарын жайып жүреді адам тамақ ішіп отқанда шаштары столға тиіп тамақтарға тиіп шығады фууй, а ещё берген заказдарымыз ұзақ келеді не деген санасыз адамдар ёмае түсіне алмадым, не советую баруға!!!Х",1,"21 декабря 2024, отредактирован"
Sulu Bs,"Не советую🤢 суши күйіп кеткен, соус сылдыр су тұрғанымен балықтын түрі анау ужас",1,20 декабря 2024
Ayaulym Kydyrgalieva,"Менеджер қызды ауыстырсаңыздар.Қалай болса солай сөйлейді.Уважение жоқ.Берілген тапсырыс түгел емес,не соус не пиццасы жоқ,фридың жартысын жеп қойған!!!!!!!!Доставка ұзақ келді 3 сағат болды,жақын жер болса да.Суып қалған бәрі,жеуге келмейді.👎🏻👎🏻👎🏻",1,"20 декабря 2024, отредактирован"
Коля Бекетов,"Очень плохо, на Филадельфии толком рыбы нет, на фото одно, в жизни другое, не соответствует.
Инь Янь вообще не то, на фото одно, в жизни другое.",1,20 декабря 2024
Малик Саябек,Ужас не деген салактык повар мулдем суши дегенге саи емес 0 👎🏽 мулдем жаман екен қалай сатып жатсыздар уяткои мынау😡😡😡,1,20 декабря 2024
Ақжан Сүйеуғазовна,Ужас Не акуратына салынбаған Даміде онша емес ужасс өтте ужс Сөз жок Сендерге,1,20 декабря 2024
Аида Ахмет,Обслуживание просто 🤢🤢🤢🤢🤢🤢,1,20 декабря 2024
Айдон ),"Вообще қызмет көрсетулері ужас, тым шумный жер, сушилары фотодағыдай емес, суық болдыы бәрі ещё бөліп бөліп алып келеді тым дөрекі оффицианттары",1,20 декабря 2024
dana kabimoldakyzy,"обслуживание нольгой ужас,сушиларын инстага салган кезде улкен кылып адеми кылып салп на самом деле ужас капеец",1,20 декабря 2024
Keremet Adyrbai,ужаас😂😂😂😂19.12.2024,1,20 декабря 2024
Толғанай Қапар,Заказ береде осы жерден қарау керек екен! Бәрі суық! Филадельфияның жұқалығын айпай ақ қояйын! Келесі отзывпен қарап заказ беретін боламын !,1,19 декабря 2024
Tvoi Hozyain,Х*йня еба*ая,1,19 декабря 2024
Айжан Ескендир,Суши емес курыш жегенди болдыкко нестоит багасына ещё дамыде жок ужсс,1,19 декабря 2024
Gulnur Yerlanova,"Сушилар өте суық , еще қызмет официанттардың көрсетулері ужас....",2,18 декабря 2024
Нурдаау,Ваше паражняк тамак суык ещё термо сумкасыз келды ещо коласы жок НЕ СОВЕТУЮ,1,17 декабря 2024
Sara Asylbekqyzy,"Проста ужас сөз жоқ🤦🏻‍♀️ барғанымызға өкініп кеттік.
1-таза емес столдын асты лас ещё бокал сынып жатыр вообще жиналмаған.
2-Сеть алдық сушилары полный фуу біреуі кіші біреуі жіңішке соқыр адамда олай суши кеспиді!!!
3-Обслуживание вообще молчу кішкене уважения болу керек клиентке деген!!!
4-Ешқандай соус ештеңе берілмейді крылышки,фриге,тек соевый соус беріледі ещё олда сұйық су.
Вообще барғандарыңа да ақша төлегенге де вообще не стоит!!!
Бір жұлдыз қоюғада қолың бармайды екен.",1,17 декабря 2024
Meruert Erzhanovaa,"Не советую, лучше келмендер акшаларын боска кетеді. Сушиларынын дами жок суык болып келеди. Заведение прям суык, лучше не берите и не заказывайте. 🤦🏻‍♀️",1,"17 декабря 2024, отредактирован"
Azamat Koigeldiev,Типа сондай,1,"17 декабря 2024, отредактирован"
Карина Фишер,"Ни одной звезды даже ставить не хочется , ужас пицца холодная заказ ждала 3 часа 🤦‍♀️ не советую заказывать",1,17 декабря 2024
Ayazhan Kussainova,Это вы называете Филадельфия? Ужас за такие деньги это просто кошмар,1,16 декабря 2024
Балғын Серікқызы,Фридың жартысы жоқ келерде өздері жеп келгенба ужасно еще суык вобще не советую👎🏻👎🏻,1,16 декабря 2024
Dariga Baszhanova,Просто ужас🤢🤢🤢🤢🤢,1,16 декабря 2024
Zhanelyaa 17,суши жеп отырсын… бірақ тағдыр сені тек бір жіп жіңішке кесіндімен сынайды!😔,1,15 декабря 2024
Акбота Амангелды,"Ужасно. Все ужасно. Нет вежливых операторов это первое. Оставшиеся еда. Нарезки ужасные, про запах вообще молчу, это честный отзыв, лучше не берите и не заказывайте даже если вы умрете от голода",1,15 декабря 2024
Коркем Нуралы,"3 сагат доставка куттык, кыздары мулдем адаммен сойлесып былмейды, телефонга жауап бермейды. Суши пиццалары дамсиз. Мулдем алманыздар. Вообще не стоит !!! Осындай жауапсыз адамдарды мулдем кормеппын",1,15 декабря 2024
Андрей Кравченко,"Заказал сегодня суши просто УЖАС!!! Прошу обратить внимание на мой отзыв
Курьер привез с не довольным лицом, разговаривать не умеет с людьми!!!
Это что такое вообще???? Не могу понять!?
Как будто бесплатно беру
Научитесь пожалуйста как положено обслуживать!!
Мало того, колу не привезли и ещё сдачу отдать не могут, видели у них их нет, водитель даже толком не мог решить этот вопрос сразу решил забрать заказ обратно.
Мне очень стыдно, что у нас до сих пор есть такие люди, ПОЗОР!!!!
Если не умеют отдавать нормально заказ, пусть на базар идёт работать с такими отношениями",1,14 декабря 2024
Нурсултан Алибек,"Как вообще можно так халатна относиться к клиентам ? Отдал собаке , сказал что такую отвратительную еду не будет кушать",1,14 декабря 2024
Диана Елемес,Мынау не димда итке тамак бергендей балыкты аяайсындарма акшасын толеп отырмызгой пицца ол кесилмеген суык 🤦‍♀️👍уяткой заказ бермениздер керек емес не дурыс жауап бермейди сумдык,1,14 декабря 2024
Ислам Навирдинов,Не советую брать рис сырой все пережаренное все холодное очень долго везли рыба просроченная волосы в еде даже жалко одну галочку ставить вся еда такая как на фото,1,"14 декабря 2024, отредактирован"
Мико Мейр,Не советую. Ужасно все!!!,1,14 декабря 2024
Гаухар Канай,Спокойное и уятное место для тихого семейного ужина 👌,5,"14 декабря 2024, отредактирован"
Tau Bek,"Соустарыңыз шли сұйық қой, сылдыр су(",1,"14 декабря 2024, отредактирован"
Татьяна ЗИЯДУНОВА,Вообще не берут трубку а если дозвониться то девушка еле розговарвает,1,14 декабря 2024
алуа копжасар,"1)очень долго едит заказ
2)спросила почему так долго мне пишут (ожидайте вам было сказано время) сказали что в 13:00 будут суши уже как час не везли.",1,14 декабря 2024
Кутлук Амаргазиев,Оооочень долго несли заказ,2,"14 декабря 2024, отредактирован"
Самал Ергалиевна,"Даже одного звездочка жалко…
Заказали сет и там одни не вкусные суши 🍱🤢🤢🤢 просто маркетинг никакого качества.
Вы.видели такой лосось? Издеватьсво просто 🤮….. ваш руководство хоть видят как мы отдаете?! Как там все ужасно ?
Всем не советую ребята.
Больше не буду заказывать.
Лишь бы деньги 🤦🏻‍♀️",1,14 декабря 2024
Александра Ткаченко,"Самые ужасные суши что я когда-либо видела и пробовала, испортили не только настроение и апетит. Закрыть заведение. Травят людей. Суши не первой свежести, соус вообще разбавлен водой, вести нужно на экспертизу. КТО У ВАС ГЛАВНЫЙ? ВЕРНИТЕ ДЕНЬГИ.ЕШТИ СВОИ ПОМОИ САМИ. коменты закрыты, на телефон не отвечают. Это что такое. Я буду писать на вас",1,13 декабря 2024
Жулдыз Мураткасым,Просто ужас 👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻 сет перепутали,1,"13 декабря 2024, отредактирован"
Анастасия Болаткулова,"Фри положили меньше половины, сказали что стандартная порция, вы серьезно? Бюджетно да согласна , но вы или пишите что меньше порции у вас по «стандарту» или лучше прибавьте цену и положите как нужно!! Про качество роллов вообще молчу, сухие явно не первой свежести!! Жаль минус в звездах нельзя ставить",1,13 декабря 2024
Zylikha Baigozhayeva,Просто ужас тихий. Люди не покупайте не в коем случае суши и пиццу !!!!! Качества никого !!! Очень очень все плохо !!!,1,13 декабря 2024
Алия Сейсенбеков,"Роллы на фото выглядели шикарно в инстаграме — большие и с обилием начинки. Однако, получив заказ, оказалось, что это просто рис с крохотной начинкой. Очень разочарованы несоответствием. на это мне ответили цена соответствует качеству. Тогда нужно указывать за такую цену получите только рис",1,13 декабря 2024
Apple User,Всем привет.Честно айтайын лучше не стоит заказ беруге как будто малға дайынлағандай фотадағы тури бпска келгендегы вобще баска суып қалған тамақтың түрі әбіржіп кеткен просто бағасына сай болған дұрысқой ватсаптарына фота түсіріп жіберіп едім ответте бермедіңдер.Заказ бермеяк қойындар лучше басқа жерден.,1,13 декабря 2024
Енлик Олжабаева,"Самые отвратительные роллы, рыбы вообще нет нигде( нарезано так тонко, прозрачно), нори вонючие ужасно, все такое высохшее🤢 врагу не посоветовала бы их!",1,12 декабря 2024
Айлана,"Там должен был быть грибы, но их тупо нет.
Про суши вообще молчу, и пицца снизу обгоревший, не такие как на фото!",1,12 декабря 2024
Nur Bolat,Келмендеерр проста ужаассссс🤢🤢🤢🤢🤢🤢🤢🤢🤢🤮🤮🤮🤮,1,12 декабря 2024
Nur ___,Просто ужас 😱🤢🤮,1,12 декабря 2024
Raya Nurbai,"Ужасно суши не разрезаны, на филе нет рыбы, пицца не разделена",1,12 декабря 2024
Рабига Исакова,"Бир кун бурын заказ жасау керек екен. 3,5-4 сагат болды тосып отырмыз. Не сумдык. Не жауап жазбайды.",1,12 декабря 2024
Акосья .,"Недеген бассыздық?!
қабылданбаған заказ предоплатасын қайтармайды,хоть кері-байланыс жасамайды!!!
Никому не советую,алатын болсаңыздар ями маки ала салыңыздар тез прям,кері-ба
йланысты мәдениетт, жылдам сөйлеседі.
Самый хуже что 2-күн жазып әшейін сұрасақта жауап жоқ тағы грубая.Сервис ужасная!",1,12 декабря 2024
Naz 🤍,"Заказ бермеңдер бұл жерден! Сетте бар заттардың өзін жеп тастайды🤦🏻‍♀️коланы салмаған,пицца мұздай,достовка өтее ұзақ🥶🚗Не советую!!!",1,12 декабря 2024
🤍 .,так понравилась заведение так уютно и очень вкусно😋,5,"12 декабря 2024, отредактирован"
Mercuis,Сет Джокер Сет чё там,5,12 декабря 2024
Даниил Троянов,"Если хотите ждать заказ 5 часов +, холодную пиццу, курицу, то можете спокойно заказывать от сюда. Про размер порции вообще молчу, раньше было лучше",1,11 декабря 2024
Айсулу Дүйсенқожа,Базар жоқ😂 филадельфия балығын коп салп берсіздерр),1,11 декабря 2024
Den4ik Den4ik,"Испортилось место, рыбу порезали на Филадельфию так тонко что видно рис, сами суши порезаны не аккуратно криво, все разного размера, очень жаль что испортили такое место",1,"11 декабря 2024, отредактирован"
N O,Мм пасяба Такой слой большой 🗿,1,11 декабря 2024
Асель Нур,"Даже одну звезду жалко ужс как вы работаете вообще ужс только трата денег
Не можете общаться с клиентами какого фига сидите дам даже не можете нормально доставить доставку",1,11 декабря 2024
